names,Frequency,count
Intel Core i7 740QM , 1.73GHz,3191
Intel Pentium 5405U , 2.30GHz,3186
Intel Pentium 4417U , 2.30GHz,3185
AMD Opteron 2378,,3179
Intel Xeon X3323 , 2.50GHz,3178
AMD Athlon X4 640,,3172
Intel Core i5 2410M , 2.30GHz,3172
Intel Xeon X5355 , 2.66GHz,3170
AMD Opteron 4162 EE,,3166
AMD A6 3670 APU,,3165
Intel Pentium G4400T , 2.90GHz,3163
Intel Atom C2758 , 2.40GHz,3162
Intel Core2 Quad Q8400 , 2.66GHz,3162
AMD Phenom 9850B Quad Core,,3160
Intel Core i3 2120T , 2.60GHz,3155
AMD A10 PRO 7350B APU,,3153
Intel Pentium G3240 , 3.10GHz,3153
Intel Core2 Quad Q9300 , 2.50GHz,3152
Intel Core i7 3517UE , 1.70GHz,3150
Intel Pentium 4415U , 2.30GHz,3148
AMD Athlon II X4 631 Quad Core,,3145
AMD A6 3650 APU,,3141
Intel Celeron G3900 , 2.80GHz,3131
AMD Athlon II X4 630,,3130
Intel Celeron G3920 , 2.90GHz,3129
Intel Xeon E5507 , 2.27GHz,3125
Intel Pentium G3220 , 3.00GHz,3125
AMD Phenom II X4 810,,3120
Intel Xeon E7  2830 , 2.13GHz,3118
AMD R 464L APU,,3117
AMD A6 7480,,3116
AMD A10 4600M APU,,3115
AMD A8 3820 APU,,3106
Intel Pentium G3440T , 2.80GHz,3101
Intel Celeron G4900T , 2.90GHz,3096
Intel Core i5 650 , 3.20GHz,3096
Intel Core i5 3317U , 1.70GHz,3092
Intel Xeon X3220 , 2.40GHz,3088
AMD PRO A6 8570,,3088
AMD A10 5757M APU,,3084
Intel Core i3 3110M , 2.40GHz,3081
AMD Phenom II X4 905e,,3080
Intel Pentium G2120 , 3.10GHz,3079
Intel Core i3 6006U , 2.00GHz,3078
Intel Core i3 2330E , 2.20GHz,3073
AMD Opteron 2427,,3069
AMD Phenom II X3 B77,,3067
AMD Opteron 1381,,3065
AMD Opteron X2170 APU,,3059
Intel Core i3 5010U , 2.10GHz,3058
AMD A6 9500,,3054
Intel Xeon E5606 , 2.13GHz,3054
Intel Core i3 4120U , 2.00GHz,3050
Intel Celeron G3950 , 3.00GHz,3049
Intel Celeron G3930 , 2.90GHz,3040
AMD A6 8550,,3032
